"","issn","tilte","code","area"
"7165","0009-837X","Classical Philology","1205","Classics"
"7166","0009-837X","Classical Philology","1203","Language and Linguistics"
"7167","0009-837X","Classical Philology","3310","Linguistics and Language"
"7168","0009-8418","Classical World","1205","Classics"
"7169","0010-4825","Computers in Biology and Medicine","1706","Computer Science Applications"
"7170","0010-4825","Computers in Biology and Medicine","2718","Health Informatics"
"7171","0010-7484","Contemporary Literature","1208","Literature and Literary Theory"
"7172","0010-9452","Cortex","3206","Neuropsychology and Physiological Psychology"
"7173","0010-9452","Cortex","3205","Experimental and Cognitive Psychology"
"7174","0010-9452","Cortex","2805","Cognitive Neuroscience"
"7175","0013-0249","Economic Record","2002","Economics and Econometrics"
"7176","0013-5984","Elementary School Journal","3304","Education"
"7177","0013-8398","English Studies in Africa","1208","Literature and Literary Theory"
"7178","0014-0856","Essays in Criticism","1208","Literature and Literary Theory"
"7179","0014-3855","Evolution Psychiatrique","1200","Arts and Humanities (all)"
"7180","0014-3855","Evolution Psychiatrique","2738","Psychiatry and Mental Health"
"7181","0014-4819","Experimental Brain Research","2800","Neuroscience (all)"
"7182","0016-9013","The Gerontologist","2909","Gerontology"
"7183","0016-9013","The Gerontologist","2717","Geriatrics and Gerontology"
"7184","0016-9862","Gifted Child Quarterly","3304","Education"
"7185","0016-9862","Gifted Child Quarterly","3204","Developmental and Educational Psychology"
"7186","0017-3835","Greece and Rome","1205","Classics"
"7187","0017-3835","Greece and Rome","1200","Arts and Humanities (all)"
"7188","0018-2206","Hispanofila","1208","Literature and Literary Theory"
"7189","0018-7895","Huntington Library Quarterly","1213","Visual Arts and Performing Arts"
"7190","0018-7895","Huntington Library Quarterly","1202","History"
"7191","0018-7895","Huntington Library Quarterly","1208","Literature and Literary Theory"
"7192","0018-9219","Proceedings of the IEEE","1700","Computer Science (all)"
"7193","0018-9219","Proceedings of the IEEE","2208","Electrical and Electronic Engineering"
"7194","0018-9448","IEEE Transactions on Information Theory","1710","Information Systems"
"7195","0018-9448","IEEE Transactions on Information Theory","1706","Computer Science Applications"
"7196","0018-9448","IEEE Transactions on Information Theory","3309","Library and Information Sciences"
"7197","0019-0829","ITL - International Journal of Applied Linguistics (Belgium)","1203","Language and Linguistics"
"7198","0019-0829","ITL - International Journal of Applied Linguistics (Belgium)","3304","Education"
"7199","0019-0829","ITL - International Journal of Applied Linguistics (Belgium)","3310","Linguistics and Language"
"7200","0019-5308","Indian Journal of Labour Economics","2002","Economics and Econometrics"
"7201","0019-5561",NA,NA,NA
"7202","0019-6665","Indiana Law Journal","3308","Law"
"7203","0019-7289","Indonesia","3316","Cultural Studies"
"7204","0019-7289","Indonesia","1202","History"
"7205","0019-7289","Indonesia","3312","Sociology and Political Science"
"7206","0020-577X","Internasjonal Politikk","3312","Sociology and Political Science"
"7207","0020-577X","Internasjonal Politikk","3320","Political Science and International Relations"
"7208","0020-7411","International Journal of Mental Health","2719","Health Policy"
"7209","0020-7411","International Journal of Mental Health","2739","Public Health, Environmental and Occupational Health"
"7210","0020-7411","International Journal of Mental Health","2738","Psychiatry and Mental Health"
"7211","0020-7829",NA,NA,NA
"7212","0020-8132","International Nursing Review","2900","Nursing (all)"
"7213","0020-8825","International Studies of Management and Organization","1403","Business and International Management"
"7214","0020-8825","International Studies of Management and Organization","1408","Strategy and Management"
"7215","0021-2571","Annali dell'Istituto Superiore di Sanita","2739","Public Health, Environmental and Occupational Health"
"7216","0021-3667","The Journal of General Education","3304","Education"
"7217","0021-6682","Jewish Quarterly Review","3316","Cultural Studies"
"7218","0021-6682","Jewish Quarterly Review","1202","History"
"7219","0021-6682","Jewish Quarterly Review","1212","Religious Studies"
"7220","0021-6704","Jewish Social Studies","3316","Cultural Studies"
"7221","0021-6704","Jewish Social Studies","1202","History"
"7222","0021-6704","Jewish Social Studies","3314","Anthropology"
"7223","0021-6704","Jewish Social Studies","1212","Religious Studies"
"7224","0021-8251","Journal for Research in Mathematics Education","2601","Mathematics (miscellaneous)"
"7225","0021-8251","Journal for Research in Mathematics Education","3304","Education"
"7226","0021-843X","Journal of Abnormal Psychology","2738","Psychiatry and Mental Health"
"7227","0021-843X","Journal of Abnormal Psychology","2803","Biological Psychiatry"
"7228","0021-8715","Journal of American Folklore","3316","Cultural Studies"
"7229","0021-8715","Journal of American Folklore","1201","Arts and Humanities (miscellaneous)"
"7230","0021-8723","Journal of American History","1202","History"
"7231","0021-8723","Journal of American History","1207","History and Philosophy of Science"
"7232","0021-8812","Journal of Animal Science","1106","Food Science"
"7233","0021-8812","Journal of Animal Science","1103","Animal Science and Zoology"
"7234","0021-8812","Journal of Animal Science","1311","Genetics"
"7235","0021-9894","Journal of Commonwealth Literature","1208","Literature and Literary Theory"
"7236","0022-006X","Journal of Consulting and Clinical Psychology","3203","Clinical Psychology"
"7237","0022-006X","Journal of Consulting and Clinical Psychology","2738","Psychiatry and Mental Health"
"7238","0022-0078","Journal of Consumer Affairs","3312","Sociology and Political Science"
"7239","0022-0078","Journal of Consumer Affairs","2000","Economics, Econometrics and Finance (all)"
"7240","0022-0221","Journal of Cross-Cultural Psychology","3207","Social Psychology"
"7241","0022-0221","Journal of Cross-Cultural Psychology","3316","Cultural Studies"
"7242","0022-0221","Journal of Cross-Cultural Psychology","3314","Anthropology"
"7243","0022-135X","Journal of Geography (Chigaku Zasshi)","2306","Global and Planetary Change"
"7244","0022-135X","Journal of Geography (Chigaku Zasshi)","3305","Geography, Planning and Development"
"7245","0022-135X","Journal of Geography (Chigaku Zasshi)","1908","Geophysics"
"7246","0022-135X","Journal of Geography (Chigaku Zasshi)","1907","Geology"
"7247","0022-135X","Journal of Geography (Chigaku Zasshi)","1904","Earth-Surface Processes"
"7248","0022-1996","Journal of International Economics","2003","Finance"
"7249","0022-1996","Journal of International Economics","2002","Economics and Econometrics"
"7250","0022-2267","Journal of Linguistics","1203","Language and Linguistics"
"7251","0022-2267","Journal of Linguistics","1211","Philosophy"
"7252","0022-2267","Journal of Linguistics","3310","Linguistics and Language"
"7253","0022-2445","Journal of Marriage and Family","3314","Anthropology"
"7254","0022-2445","Journal of Marriage and Family","1201","Arts and Humanities (miscellaneous)"
"7255","0022-2445","Journal of Marriage and Family","3301","Social Sciences (miscellaneous)"
"7256","0022-250X","Journal of Mathematical Sociology","2602","Algebra and Number Theory"
"7257","0022-250X","Journal of Mathematical Sociology","3301","Social Sciences (miscellaneous)"
"7258","0022-250X","Journal of Mathematical Sociology","3312","Sociology and Political Science"
"7259","0022-3476","Journal of Pediatrics","2735","Pediatrics, Perinatology and Child Health"
"7260","0022-3840","Journal of Popular Culture","1202","History"
"7261","0022-3840","Journal of Popular Culture","1201","Arts and Humanities (miscellaneous)"
"7262","0022-3840","Journal of Popular Culture","1208","Literature and Literary Theory"
"7263","0022-3891","Journal of Personality Assessment","3203","Clinical Psychology"
"7264","0022-3891","Journal of Personality Assessment","2738","Psychiatry and Mental Health"
"7265","0022-3891","Journal of Personality Assessment","2307","Health, Toxicology and Mutagenesis"
"7266","0022-4200","Journal of Religion in Africa","1212","Religious Studies"
"7267","0022-4669","Journal of Special Education","3304","Education"
"7268","0022-4669","Journal of Special Education","2742","Rehabilitation"
"7269","0022-5193","Journal of Theoretical Biology","2613","Statistics and Probability"
"7270","0022-5193","Journal of Theoretical Biology","2611","Modeling and Simulation"
"7271","0022-5193","Journal of Theoretical Biology","1300","Biochemistry, Genetics and Molecular Biology (all)"
"7272","0022-5193","Journal of Theoretical Biology","2400","Immunology and Microbiology (all)"
"7273","0022-5193","Journal of Theoretical Biology","1100","Agricultural and Biological Sciences (all)"
"7274","0022-5193","Journal of Theoretical Biology","2604","Applied Mathematics"
"7275","0023-3900","Korea Journal","3316","Cultural Studies"
"7276","0023-3900","Korea Journal","1202","History"
"7277","0023-3900","Korea Journal","1213","Visual Arts and Performing Arts"
"7278","0023-3900","Korea Journal","1208","Literature and Literary Theory"
"7279","0023-656X","Labor History","1202","History"
"7280","0023-656X","Labor History","1407","Organizational Behavior and Human Resource Management"
"7281","0023-6942","Labour History","1202","History"
"7282","0023-6942","Labour History","1410","Industrial Relations"
"7283","0023-6942","Labour History","3312","Sociology and Political Science"
"7284","0023-6942","Labour History","1407","Organizational Behavior and Human Resource Management"
"7285","0024-6301","Long Range Planning","3305","Geography, Planning and Development"
"7286","0024-6301","Long Range Planning","2003","Finance"
"7287","0024-6301","Long Range Planning","1408","Strategy and Management"
"7288","0025-5610","Mathematical Programming","1712","Software"
"7289","0025-5610","Mathematical Programming","2600","Mathematics (all)"
"7290","0025-570X","Mathematics Magazine","2600","Mathematics (all)"
"7291","0025-6196","Mayo Clinic Proceedings","2700","Medicine (all)"
"7292","0025-8024","Medicine, Science and the Law","2910","Issues, Ethics and Legal Aspects"
"7293","0025-8024","Medicine, Science and the Law","2719","Health Policy"
"7294","0025-8024","Medicine, Science and the Law","3308","Law"
"7295","0025-9284","Bulletin of the Menninger Clinic","2921","Psychiatric Mental Health"
"7296","0025-9284","Bulletin of the Menninger Clinic","3203","Clinical Psychology"
"7297","0025-9284","Bulletin of the Menninger Clinic","2738","Psychiatry and Mental Health"
"7298","0029-5973","Numen","1202","History"
"7299","0029-5973","Numen","1212","Religious Studies"
"7300","0030-6053","Oryx","1105","Ecology, Evolution, Behavior and Systematics"
"7301","0030-6053","Oryx","2309","Nature and Landscape Conservation"
"7302","0031-3203","Pattern Recognition","1712","Software"
"7303","0031-3203","Pattern Recognition","1711","Signal Processing"
"7304","0031-3203","Pattern Recognition","1707","Computer Vision and Pattern Recognition"
"7305","0031-3203","Pattern Recognition","1702","Artificial Intelligence"
"7306","0031-322X","Patterns of Prejudice","3316","Cultural Studies"
"7307","0031-322X","Patterns of Prejudice","1202","History"
"7308","0031-5826","Personnel Psychology","3202","Applied Psychology"
"7309","0031-5826","Personnel Psychology","1407","Organizational Behavior and Human Resource Management"
"7310","0032-1052","Plastic and Reconstructive Surgery","2746","Surgery"
"7311","0032-3187","Political Science","3312","Sociology and Political Science"
"7312","0033-3042","Psychologische Rundschau","3200","Psychology (all)"
"7313","0033-3085","Psychology in the Schools","3304","Education"
"7314","0033-3085","Psychology in the Schools","3204","Developmental and Educational Psychology"
"7315","0033-3182","Psychosomatics","1201","Arts and Humanities (miscellaneous)"
"7316","0033-3182","Psychosomatics","3202","Applied Psychology"
"7317","0033-3182","Psychosomatics","2738","Psychiatry and Mental Health"
"7318","0034-0553","Reading Research Quarterly","3304","Education"
"7319","0034-0553","Reading Research Quarterly","3204","Developmental and Educational Psychology"
"7320","0034-6632","Review of Metaphysics","1211","Philosophy"
"7321","0034-8570","Revista de Metalurgia","3104","Condensed Matter Physics"
"7322","0034-8570","Revista de Metalurgia","1606","Physical and Theoretical Chemistry"
"7323","0034-8570","Revista de Metalurgia","2506","Metals and Alloys"
"7324","0034-8570","Revista de Metalurgia","2505","Materials Chemistry"
"7325","0034-9631","Revista Iberoamericana","1208","Literature and Literary Theory"
"7326","0035-2985",NA,NA,NA
"7327","0035-3086",NA,NA,NA
"7328","0035-3787","Revue Neurologique","2808","Neurology"
"7329","0035-3787","Revue Neurologique","2728","Neurology (clinical)"
"7330","0035-5593",NA,NA,NA
"7331","0036-4037","San Diego Law Review","2700","Medicine (all)"
"7332","0036-6773",NA,NA,NA
"7333","0037-8054","Social Work/Maatskaplike Werk","3312","Sociology and Political Science"
"7334","0038-0318","Sociologija","3300","Social Sciences (all)"
"7335","0038-1861","Soundings","3316","Cultural Studies"
"7336","0038-1861","Soundings","1201","Arts and Humanities (miscellaneous)"
"7337","0038-1861","Soundings","3312","Sociology and Political Science"
"7338","0039-0526",NA,NA,NA
"7339","0039-338X","Studia Theologica - Nordic Journal of Theology","1212","Religious Studies"
"7340","0039-3541","Studies in Art Education","3304","Education"
"7341","0039-3541","Studies in Art Education","1213","Visual Arts and Performing Arts"
"7342","0039-3665","Studies in Family Planning","3317","Demography"
"7343","0039-3665","Studies in Family Planning","3301","Social Sciences (miscellaneous)"
"7344","0039-3797","Studies in Soviet Thought","1211","Philosophy"
"7345","0039-3827","Studies in the Novel","1208","Literature and Literary Theory"
"7346","0039-6338","Survival","3312","Sociology and Political Science"
"7347","0039-6338","Survival","3320","Political Science and International Relations"
"7348","0040-0912","Education and Training","3304","Education"
"7349","0040-0912","Education and Training","1401","Business, Management and Accounting (miscellaneous)"
"7350","0040-0912","Education and Training","3319","Life-span and Life-course Studies"
"7351","0040-4691","Texas Studies in Literature and Language","1203","Language and Linguistics"
"7352","0040-4691","Texas Studies in Literature and Language","3310","Linguistics and Language"
"7353","0040-4691","Texas Studies in Literature and Language","1208","Literature and Literary Theory"
"7354","0041-9915","University of Pittsburgh Law Review","3308","Law"
"7355","0042-0859","Urban Education","3304","Education"
"7356","0042-0859","Urban Education","3322","Urban Studies"
"7357","0042-5117",NA,NA,NA
"7358","0042-6571",NA,NA,NA
"7359","0042-6601","Virginia Law Review","3308","Law"
"7360","0043-1672",NA,NA,NA
"7361","0044-118X","Youth and Society","3312","Sociology and Political Science"
"7362","0044-118X","Youth and Society","3301","Social Sciences (miscellaneous)"
"7363","0044-118X","Youth and Society","3300","Social Sciences (all)"
"7364","0046-001X","Desarrollo Economico: Revista de Ciencias Sociales","2002","Economics and Econometrics"
"7365","0046-8444","Iberoamericana - Nordic Journal of Latin American and Caribbean Studies","1200","Arts and Humanities (all)"
"7366","0046-8444","Iberoamericana - Nordic Journal of Latin American and Caribbean Studies","3300","Social Sciences (all)"
"7367","0047-2328","Journal of Comparative Family Studies","3207","Social Psychology"
"7368","0047-2328","Journal of Comparative Family Studies","3314","Anthropology"
"7369","0047-2328","Journal of Comparative Family Studies","3312","Sociology and Political Science"
"7370","0047-2778","Journal of Small Business Management","1400","Business, Management and Accounting (all)"
"7371","0047-2778","Journal of Small Business Management","1408","Strategy and Management"
"7372","0047-2778","Journal of Small Business Management","1405","Management of Technology and Innovation"
"7373","0047-2875","Journal of Travel Research","3305","Geography, Planning and Development"
"7374","0047-2875","Journal of Travel Research","3313","Transportation"
"7375","0047-2875","Journal of Travel Research","1409","Tourism, Leisure and Hospitality Management"
"7376","0048-5772","Psychophysiology","3206","Neuropsychology and Physiological Psychology"
"7377","0048-5772","Psychophysiology","3205","Experimental and Cognitive Psychology"
"7378","0048-5772","Psychophysiology","2803","Biological Psychiatry"
"7379","0048-5772","Psychophysiology","2805","Cognitive Neuroscience"
"7380","0048-5772","Psychophysiology","2806","Developmental Neuroscience"
"7381","0048-5772","Psychophysiology","2807","Endocrine and Autonomic Systems"
"7382","0048-5772","Psychophysiology","2808","Neurology"
"7383","0048-5772","Psychophysiology","2800","Neuroscience (all)"
"7384","0065-2598","Advances in Experimental Medicine and Biology","1300","Biochemistry, Genetics and Molecular Biology (all)"
"7385","0065-7638",NA,NA,NA
"7386","0065-972X",NA,NA,NA
"7387","0066-4774","Antichthon","1205","Classics"
"7388","0066-5126","Anuario de Psicologia","3200","Psychology (all)"
"7389","0066-5126","Anuario de Psicologia","2738","Psychiatry and Mental Health"
"7390","0067-0049","Astrophysical Journal, Supplement Series","3103","Astronomy and Astrophysics"
"7391","0067-0049","Astrophysical Journal, Supplement Series","1912","Space and Planetary Science"
"7392","0068-3175",NA,NA,NA
"7393","0069-0805","Cartography","3305","Geography, Planning and Development"
"7394","0070-1998","Current legal problems","3308","Law"
"7395","0073-1641",NA,NA,NA
"7396","0075-4269","Journal of Hellenic Studies","1205","Classics"
"7397","0075-4269","Journal of Hellenic Studies","1204","Archeology (arts and humanities)"
"7398","0075-4269","Journal of Hellenic Studies","1203","Language and Linguistics"
"7399","0075-4269","Journal of Hellenic Studies","1213","Visual Arts and Performing Arts"
"7400","0075-4269","Journal of Hellenic Studies","3302","Archeology"
"7401","0075-4269","Journal of Hellenic Studies","3310","Linguistics and Language"
"7402","0075-4269","Journal of Hellenic Studies","1208","Literature and Literary Theory"
"7403","0075-6334","Klio","1205","Classics"
"7404","0075-6334","Klio","1202","History"
"7405","0076-8820","Milton Studies","1208","Literature and Literary Theory"
"7406","0079-6123","Progress in Brain Research","2800","Neuroscience (all)"
"7407","0090-3493","Critical Care Medicine","2706","Critical Care and Intensive Care Medicine"
"7408","0091-1674","Clinical Social Work Journal","3306","Health (social science)"
"7409","0091-1674","Clinical Social Work Journal","2739","Public Health, Environmental and Occupational Health"
"7410","0091-3367","Journal of Advertising","1403","Business and International Management"
"7411","0091-3367","Journal of Advertising","3315","Communication"
"7412","0091-3367","Journal of Advertising","1406","Marketing"
"7413","0091-4029","Hofstra law review","2700","Medicine (all)"
"7414","0091-4169","Journal of Criminal Law and Criminology","3308","Law"
"7415","0091-6765","Environmental Health Perspectives","2739","Public Health, Environmental and Occupational Health"
"7416","0091-6765","Environmental Health Perspectives","2307","Health, Toxicology and Mutagenesis"
"7417","0092-2102","Interfaces","1408","Strategy and Management"
"7418","0092-2102","Interfaces","1803","Management Science and Operations Research"
"7419","0092-2102","Interfaces","1405","Management of Technology and Innovation"
"7420","0094-243X","AIP Conference Proceedings","3100","Physics and Astronomy (all)"
"7421","0094-6354","AANA Journal","2914","Medical and Surgical Nursing"
"7422","0094-6354","AANA Journal","2902","Advanced and Specialized Nursing"
"7423","0094-6354","AANA Journal","2703","Anesthesiology and Pain Medicine"
"7424","0095-5108","Clinics in Perinatology","2735","Pediatrics, Perinatology and Child Health"
"7425","0095-5108","Clinics in Perinatology","2729","Obstetrics and Gynecology"
"7426","0096-3003","Applied Mathematics and Computation","2605","Computational Mathematics"
"7427","0096-3003","Applied Mathematics and Computation","2604","Applied Mathematics"
"7428","0096-3070","Florida State University law review. Florida State University. College of Law","2700","Medicine (all)"
"7429","0098-5589","IEEE Transactions on Software Engineering","1712","Software"
"7430","0098-7913","Serials Review","3309","Library and Information Sciences"
"7431","0099-1333","Journal of Academic Librarianship","3304","Education"
"7432","0099-1333","Journal of Academic Librarianship","3309","Library and Information Sciences"
"7433","0102-4175",NA,NA,NA
"7434","0102-7972","Psicologia: Reflexao e Critica","3200","Psychology (all)"
"7435","0103-1813",NA,NA,NA
"7436","0103-4014","Estudos Avancados","3316","Cultural Studies"
"7437","0103-4014","Estudos Avancados","3312","Sociology and Political Science"
"7438","0103-4332",NA,NA,NA
"7439","0104-026X","Revista Estudos Feministas","3318","Gender Studies"
"7440","0104-7183","Horizontes Antropologicos","3314","Anthropology"
"7441","0104-7876",NA,NA,NA
"7442","0120-064X",NA,NA,NA
"7443","0120-3886",NA,NA,NA
"7444","0120-4823","Signo y Pensamiento","3315","Communication"
"7445","0120-4823","Signo y Pensamiento","3310","Linguistics and Language"
"7446","0120-8179",NA,NA,NA
"7447","0120-8578",NA,NA,NA
"7448","0121-3814",NA,NA,NA
"7449","0121-4705","Analisis Politico","1202","History"
"7450","0121-4705","Analisis Politico","3312","Sociology and Political Science"
"7451","0121-4705","Analisis Politico","3320","Political Science and International Relations"
"7452","0121-6538",NA,NA,NA
"7453","0123-3432","Ikala","1203","Language and Linguistics"
"7454","0123-3432","Ikala","3304","Education"
"7455","0123-3432","Ikala","3310","Linguistics and Language"
"7456","0124-0781",NA,NA,NA
"7457","0124-177X",NA,NA,NA
"7458","0124-5996","Revista de Economia Institucional","2000","Economics, Econometrics and Finance (all)"
"7459","0127-9084","Malaysian Journal of Computer Science","1700","Computer Science (all)"
"7460","0127-9386",NA,NA,NA
"7461","0138-9130","Scientometrics","3300","Social Sciences (all)"
"7462","0138-9130","Scientometrics","1706","Computer Science Applications"
"7463","0138-9130","Scientometrics","3309","Library and Information Sciences"
"7464","0140-1971","Journal of Adolescence","2735","Pediatrics, Perinatology and Child Health"
"7465","0140-1971","Journal of Adolescence","3207","Social Psychology"
"7466","0140-1971","Journal of Adolescence","3204","Developmental and Educational Psychology"
"7467","0140-1971","Journal of Adolescence","2738","Psychiatry and Mental Health"
"7468","0140-9883","Energy Economics","2002","Economics and Econometrics"
"7469","0140-9883","Energy Economics","2100","Energy (all)"
"7470","0143-5124","Library Management","3309","Library and Information Sciences"
"7471","0143-5671","Fiscal Studies","1402","Accounting"
"7472","0143-5671","Fiscal Studies","2003","Finance"
"7473","0143-5671","Fiscal Studies","2002","Economics and Econometrics"
"7474","0143-7720","International Journal of Manpower","1408","Strategy and Management"
"7475","0143-7720","International Journal of Manpower","1407","Organizational Behavior and Human Resource Management"
"7476","0143-7720","International Journal of Manpower","1405","Management of Technology and Innovation"
"7477","0144-5340","History and Philosophy of Logic","1202","History"
"7478","0144-5340","History and Philosophy of Logic","1207","History and Philosophy of Science"
"7479","0144-8420","Radiation Protection Dosimetry","3614","Radiological and Ultrasound Technology"
"7480","0144-8420","Radiation Protection Dosimetry","3108","Radiation"
"7481","0144-8420","Radiation Protection Dosimetry","2741","Radiology, Nuclear Medicine and Imaging"
"7482","0144-8420","Radiation Protection Dosimetry","2739","Public Health, Environmental and Occupational Health"
"7483","0145-840X","Korean Studies","3316","Cultural Studies"
"7484","0145-840X","Korean Studies","3314","Anthropology"
"7485","0145-840X","Korean Studies","1202","History"
"7486","0145-840X","Korean Studies","1213","Visual Arts and Performing Arts"
"7487","0145-840X","Korean Studies","1201","Arts and Humanities (miscellaneous)"
"7488","0145-840X","Korean Studies","3312","Sociology and Political Science"
"7489","0145-840X","Korean Studies","3301","Social Sciences (miscellaneous)"
"7490","0145-840X","Korean Studies","1208","Literature and Literary Theory"
"7491","0147-006X","Annual Review of Neuroscience","2800","Neuroscience (all)"
"7492","0148-4834","Journal of Nursing Education","2900","Nursing (all)"
"7493","0148-4834","Journal of Nursing Education","3304","Education"
"7494","0148-8376","Journal of Social Service Research","3301","Social Sciences (miscellaneous)"
"7495","0148-8376","Journal of Social Service Research","3312","Sociology and Political Science"
"7496","0156-5788","Australian Health Review","2719","Health Policy"
"7497","0160-0923","Helios","1205","Classics"
"7498","0160-0923","Helios","3316","Cultural Studies"
"7499","0160-0923","Helios","1203","Language and Linguistics"
"7500","0160-0923","Helios","3310","Linguistics and Language"
"7501","0160-0923","Helios","1208","Literature and Literary Theory"
"7502","0160-3477","Journal of Post Keynesian Economics","2002","Economics and Econometrics"
"7503","0160-9513","Social Work with Groups","3304","Education"
"7504","0160-9513","Social Work with Groups","3301","Social Sciences (miscellaneous)"
"7505","0161-4754","Journal of Manipulative and Physiological Therapeutics","3602","Chiropractics"
"7506","0162-3257","Journal of Autism and Developmental Disorders","3204","Developmental and Educational Psychology"
"7507","0162-3737","Educational Evaluation and Policy Analysis","3304","Education"
"7508","0162-6620","Action in Teacher Education","3304","Education"
"7509","0163-5158","Ageing International","3306","Health (social science)"
"7510","0163-5948",NA,NA,NA
"7511","0163-9269","Behavioral and Social Sciences Librarian","3300","Social Sciences (all)"
"7512","0163-9269","Behavioral and Social Sciences Librarian","3309","Library and Information Sciences"
"7513","0164-0704","Journal of Macroeconomics","2002","Economics and Econometrics"
"7514","0165-0254","International Journal of Behavioral Development","3207","Social Psychology"
"7515","0165-0254","International Journal of Behavioral Development","3304","Education"
"7516","0165-0254","International Journal of Behavioral Development","3204","Developmental and Educational Psychology"
"7517","0165-0254","International Journal of Behavioral Development","3301","Social Sciences (miscellaneous)"
"7518","0165-0254","International Journal of Behavioral Development","2806","Developmental Neuroscience"
"7519","0165-0254","International Journal of Behavioral Development","3319","Life-span and Life-course Studies"
"7520","0165-0750","Common Market Law Review","3320","Political Science and International Relations"
"7521","0165-0750","Common Market Law Review","3308","Law"
"7522","0165-7763","Studies in Language Companion Series","1203","Language and Linguistics"
"7523","0165-7763","Studies in Language Companion Series","3310","Linguistics and Language"
"7524","0166-0462","Regional Science and Urban Economics","2002","Economics and Econometrics"
"7525","0166-0462","Regional Science and Urban Economics","3322","Urban Studies"
"7526","0166-2031","Metamedicine","3301","Social Sciences (miscellaneous)"
"7527","0166-2031","Metamedicine","2739","Public Health, Environmental and Occupational Health"
"7528","0166-218X","Discrete Applied Mathematics","2607","Discrete Mathematics and Combinatorics"
"7529","0166-218X","Discrete Applied Mathematics","2604","Applied Mathematics"
"7530","0166-4328","Behavioural Brain Research","2802","Behavioral Neuroscience"
"7531","0167-5133","Journal of Semantics","1201","Arts and Humanities (miscellaneous)"
"7532","0167-5133","Journal of Semantics","3310","Linguistics and Language"
"7533","0167-5133","Journal of Semantics","1702","Artificial Intelligence"
"7534","0167-6423","Science of Computer Programming","1712","Software"
"7535","0167-8116","International Journal of Research in Marketing","1406","Marketing"
"7536","0167-8655","Pattern Recognition Letters","1712","Software"
"7537","0167-8655","Pattern Recognition Letters","1711","Signal Processing"
"7538","0167-8655","Pattern Recognition Letters","1707","Computer Vision and Pattern Recognition"
"7539","0167-8655","Pattern Recognition Letters","1702","Artificial Intelligence"
"7540","0168-0102","Neuroscience Research","2800","Neuroscience (all)"
"7541","0169-2046","Landscape and Urban Planning","2303","Ecology"
"7542","0169-2046","Landscape and Urban Planning","3322","Urban Studies"
"7543","0169-2046","Landscape and Urban Planning","2309","Nature and Landscape Conservation"
"7544","0169-2046","Landscape and Urban Planning","2308","Management, Monitoring, Policy and Law"
"7545","0169-5150","Agricultural Economics (United Kingdom)","1102","Agronomy and Crop Science"
"7546","0169-5150","Agricultural Economics (United Kingdom)","2002","Economics and Econometrics"
"7547","0169-5347","Trends in Ecology and Evolution","1105","Ecology, Evolution, Behavior and Systematics"
"7548","0170-6233","Berichte zur Wissenschaftsgeschichte","1202","History"
"7549","0170-6233","Berichte zur Wissenschaftsgeschichte","1207","History and Philosophy of Science"
"7550","0171-2004","Handbook of Experimental Pharmacology","1303","Biochemistry"
"7551","0171-2004","Handbook of Experimental Pharmacology","3000","Pharmacology, Toxicology and Pharmaceutics (all)"
"7552","0175-615X",NA,NA,NA
"7553","0177-9265",NA,NA,NA
"7554","0185-0172","Historia Mexicana","1202","History"
"7555","0187-6961",NA,NA,NA
"7556","0188-9834",NA,NA,NA
"7557","0192-2882","Theatre Journal","1213","Visual Arts and Performing Arts"
"7558","0192-2882","Theatre Journal","1208","Literature and Literary Theory"
"7559","0192-6187","The American Journal of Family Therapy","3207","Social Psychology"
"7560","0192-6187","The American Journal of Family Therapy","3203","Clinical Psychology"
"7561","0193-7235","Journal of Sport and Social Issues","3312","Sociology and Political Science"
"7562","0193-7758","IRB","3306","Health (social science)"
"7563","0193-953X","Psychiatric Clinics of North America","2738","Psychiatry and Mental Health"
"7564","0194-3448",NA,NA,NA
"7565","0195-6051","Journal of Popular Film and Television","3316","Cultural Studies"
"7566","0195-6051","Journal of Popular Film and Television","1213","Visual Arts and Performing Arts"
"7567","0197-4556","Arts in Psychotherapy","3601","Health Professions  (miscellaneous)"
"7568","0197-4556","Arts in Psychotherapy","3203","Clinical Psychology"
"7569","0197-4556","Arts in Psychotherapy","2738","Psychiatry and Mental Health"
"7570","0207-6918","Kantian Journal","1211","Philosophy"
"7571","0208-600X",NA,NA,NA
"7572","0210-1173","Hacienda Publica Espanola","2003","Finance"
"7573","0210-1173","Hacienda Publica Espanola","2002","Economics and Econometrics"
"7574","0210-2862","Papers","3312","Sociology and Political Science"
"7575","0210-2862","Papers","3301","Social Sciences (miscellaneous)"
"7576","0210-4466","Asclepio","1207","History and Philosophy of Science"
"7577","0210-5233","Revista Espanola de Investigaciones Sociologicas","3312","Sociology and Political Science"
"7578","0210-5810","Anuario de Estudios Americanos","3316","Cultural Studies"
"7579","0210-9395","Estudios de Psicologia","3200","Psychology (all)"
"7580","0211-5743","Revista Espanola de Derecho Constitucional","3312","Sociology and Political Science"
"7581","0211-5743","Revista Espanola de Derecho Constitucional","3308","Law"
"7582","0211-9560",NA,NA,NA
"7583","0212-7636",NA,NA,NA
"7584","0217-9520","Sojourn","3314","Anthropology"
"7585","0217-9520","Sojourn","3312","Sociology and Political Science"
"7586","0218-5385","Asia Pacific Journal of Social Work and Development","3301","Social Sciences (miscellaneous)"
