...1,id,display_name,publication_year,type,journal,journal_id,doi,citations,first_author,n,group,X.1,X
3551,https://openalex.org/W1945123366,The Persistent Significance of Jurisdiction,2012,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/j.1467-9337.2012.00517.x,2,Dimitrios Kyritsis,NA,NA,5570,4322
3552,https://openalex.org/W2328405572,Secret Laws: Secret Laws,2012,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/j.1467-9337.2012.00515.x,3,Claire Grant,NA,NA,5572,4324
3553,https://openalex.org/W1488354383,The Paradox of the Moral Irrelevance of the Government and the Law: A Critique of Carlos Nino's Approach,2012,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/j.1467-9337.2012.00518.x,2,Juan Cianciardo,NA,NA,5574,4326
3554,https://openalex.org/W2090046510,"Punishment, Socially Deprived Offenders, and Democratic Community",2013,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-012-9179-4,3,Jeffrey W. Howard,NA,NA,5576,4328
3555,https://openalex.org/W2075854940,The scope of privacy in law and ethics,1986,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/bf00190759,22,Judith Wagner DeCew,NA,NA,5577,4329
3556,https://openalex.org/W2010761985,Dworkin's constructive optimism v. Deconstructive legal nihilism,1987,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/bf00142931,5,David Couzens Hoy,NA,NA,5578,4330
3557,https://openalex.org/W1965136620,Entitled to clemency: Mercy in the criminal law,1991,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/bf00144297,6,Carla Ann Hage Johnson,NA,NA,5579,4331
3558,https://openalex.org/W2078058648,Rehabilitating legal conventionalism,1993,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/bf02346480,3,Govert den Hartogh,NA,NA,5580,4332
3559,https://openalex.org/W2006004738,The Liberal Value of Privacy,2010,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-010-9067-9,21,Boudewijn de Bruin,NA,NA,5582,4334
3560,https://openalex.org/W1972026842,Validity and defeasibility in the legal domain,2010,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-010-9078-6,10,Jordi Ferrer Beltrán,NA,NA,5583,4335
3561,https://openalex.org/W2133678892,"Legal Vices and Civic Virtue: Vice Crimes, Republicanism and the Corruption of Lawfulness",2013,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-012-9161-1,5,Ekow N. Yankah,NA,NA,5584,4336
3562,https://openalex.org/W2000861173,Retributivism In Extremis,2013,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-012-9145-2,7,Douglas Husak,NA,NA,5586,4338
3563,https://openalex.org/W2072691949,Criminalizing Behaviour to Protect Human Dignity,2012,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-012-9177-6,5,Tatjana Hörnle,NA,NA,5588,4340
3564,https://openalex.org/W2076864981,"The Instruments of Abolition, or Why Retributivism is the Only Real Justification of Punishment",2013,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-012-9156-z,5,Leo Zaibert,NA,NA,5595,4347
3565,https://openalex.org/W3124592996,Retributivism: The Right and the Good,2013,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-012-9155-0,25,Adil Ahmad Haque,NA,NA,5596,4348
3566,https://openalex.org/W3126143484,"WRONGFUL LIFE, PROCREATIVE RESPONSIBILITY, AND THE SIGNIFICANCE OF HARM",1999,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325299052015,200,Seana Valentine Shiffrin,NA,NA,5598,4350
3567,https://openalex.org/W3124506239,HARM AND ITS MORAL SIGNIFICANCE,2012,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325212000080,43,Seana Valentine Shiffrin,NA,NA,5599,4351
3568,https://openalex.org/W3123801293,"Actions, Attitudes, and the Obligation to Obey the Law",2013,journal-article,Journal of Political Philosophy,https://openalex.org/V81746323,https://doi.org/10.1111/jopp.12000,4,Noam Gur,NA,NA,5600,4352
3569,https://openalex.org/W2135121128,The Various Relations between Law and Morality in Contemporary Legal Philosophy,2012,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/j.1467-9337.2012.00522.x,6,Michael S. Moore,NA,NA,5602,4354
3570,https://openalex.org/W2152779087,Retributivism and Legal Moralism,2012,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/j.1467-9337.2012.00524.x,6,David O. Brink,NA,NA,5604,4356
3571,https://openalex.org/W2332632017,The Ties that Bind: An Analysis of the Concept of Obligation,2013,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/raju.12001,7,Kenneth Einar Himma,NA,NA,5610,4362
3572,https://openalex.org/W1948373084,Hans Kelsen's Concept of Normative Imputation,2013,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/raju.12004,7,Peter Langford,NA,NA,5615,4367
3573,https://openalex.org/W1687045932,Inside Public Reason,2013,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-013-9204-2,2,Eric Mack,NA,NA,5626,4378
3574,https://openalex.org/W2021683802,The Philosophy of Criminal Law: Extending the Debates,2013,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-013-9206-0,17,Douglas Husak,NA,NA,5629,4381
3575,https://openalex.org/W1979033275,Considering Capital Punishment as a Human Interaction,2013,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-013-9202-4,4,Christopher Bennett,NA,NA,5631,4383
3576,https://openalex.org/W3122826177,The Significance of Transferred Intent,2013,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-012-9169-6,3,Peter Westen,NA,NA,5632,4384
3577,https://openalex.org/W1968803161,A Biosemiotic Body of Law: The Neurobiology of Justice,2013,journal-article,International journal for the semiotics of law,https://openalex.org/V2764447599,https://doi.org/10.1007/s11196-012-9292-7,2,Gail B. Murrow,NA,NA,5634,4386
3578,https://openalex.org/W2035994082,Revelation and rhetoric: a critical model of forensic discourse,2013,journal-article,International journal for the semiotics of law,https://openalex.org/V2764447599,https://doi.org/10.1007/s11196-013-9315-z,7,Chris Heffer,NA,NA,5635,4387
3579,https://openalex.org/W1979798702,Creating Legal Subjectivity Through Language and the Uses of the Legal Emblem: Children of Law and the Parenthood of the State,2013,journal-article,International journal for the semiotics of law,https://openalex.org/V2764447599,https://doi.org/10.1007/s11196-012-9260-2,2,Despina Dokoupilova,NA,NA,5636,4388
3580,https://openalex.org/W2098556946,Law’s Capacity for Vagueness,2013,journal-article,International journal for the semiotics of law,https://openalex.org/V2764447599,https://doi.org/10.1007/s11196-012-9288-3,15,Doris Liebwald,NA,NA,5638,4390
3581,https://openalex.org/W1979537786,"Violence in Fascist Criminal Law Discourse: War, Repression and Anti-Democracy",2013,journal-article,International journal for the semiotics of law,https://openalex.org/V2764447599,https://doi.org/10.1007/s11196-012-9296-3,3,Stephen Skinner,NA,NA,5639,4391
3582,https://openalex.org/W1536092230,"Eyes Wide Shut: On Risk, Rule of Law and Precaution",2013,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/raju.12014,3,Lyana Francot-Timmermans,NA,NA,5643,4395
3583,https://openalex.org/W2074795179,A Hohfeldian Analysis of Hobbesian Rights,2013,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-012-9140-7,21,Arthur Yates,NA,NA,5645,4397
3584,https://openalex.org/W2073450794,An Immodest Proposal: Hobbes Rather than Locke Provides a Forerunner for Modern Rights Theory,2013,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-012-9149-y,18,Eleanor Curran,NA,NA,5647,4399
3585,https://openalex.org/W1996924677,"Smuggled into Existence: Nonconsequentialism, Procreation, and Wrongful Disability",2013,journal-article,Ethical Theory and Moral Practice,https://openalex.org/V103146128,https://doi.org/10.1007/s10677-012-9378-z,2,Nicholas Vrousalis,NA,NA,5648,4400
3586,https://openalex.org/W2063989661,Visual Jurisprudence of the American Yellow Traffic Light,2014,journal-article,International journal for the semiotics of law,https://openalex.org/V2764447599,https://doi.org/10.1007/s11196-013-9323-z,9,Sarah Marusek,NA,NA,5649,4401
3587,https://openalex.org/W1973150050,"Natural Law, Social Contract and Moral Objectivity: Rousseau's Natural Law Constructivism",2013,journal-article,Jurisprudence,https://openalex.org/V2737598823,https://doi.org/10.5235/20403313.4.1.48,4,Kenneth R Westphal,NA,NA,5650,4402
3588,https://openalex.org/W2046667274,"Law’s Entities: Complexity, Plasticity and Justice",2013,journal-article,Jurisprudence,https://openalex.org/V2737598823,https://doi.org/10.5235/20403313.4.1.76,11,Anna Grear,NA,NA,5652,4404
3589,https://openalex.org/W3124505970,Montesquieu and the French Model of Separation of Powers,2013,journal-article,Jurisprudence,https://openalex.org/V2737598823,https://doi.org/10.5235/20403313.4.1.20,5,Marco Goldoni,NA,NA,5653,4405
3590,https://openalex.org/W2017860918,On the Stand. Another Episode of Neuroscience and Law Discussion From Italy,2014,journal-article,Neuroethics,https://openalex.org/V112842941,https://doi.org/10.1007/s12152-013-9187-7,14,Michele Farisco,NA,NA,5655,4407
3591,https://openalex.org/W2015398935,Basements and Intersections,2013,journal-article,Hypatia: A Journal of Feminist Philosophy,https://openalex.org/V124984400,https://doi.org/10.1111/hypa.12044,20,Anna Carastathis,NA,NA,5656,4408
3592,https://openalex.org/W2044082563,"Human Flourishing, Human Dignity, and Human Rights",2013,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-012-9153-2,15,John Kleinig,NA,NA,5659,4411
3593,https://openalex.org/W2038267301,Is Inheritance Morally Distinctive,2013,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-012-9152-3,6,Daniel Halliday,NA,NA,5660,4412
3594,https://openalex.org/W1906424441,Democratic Authority and the Boundary Problem,2013,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/raju.12017,14,A. John Simmons,NA,NA,5661,4413
3595,https://openalex.org/W2137465485,The Political Obligation To Donate Organs,2013,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/raju.12019,3,Govert den Hartogh,NA,NA,5663,4415
3596,https://openalex.org/W3123939968,"What is 'law', if 'the law' is not something that 'is'? A modest contribution to a major question",2013,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/raju.12022,3,Dan Jerker B. Svantesson,NA,NA,5664,4416
3597,https://openalex.org/W2164505641,Practical-Political Jurisprudence and the Dual Nature of Law,2013,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/raju.12021,2,Sarah Nason,NA,NA,5665,4417
3598,https://openalex.org/W1984284535,"Garment, or upper-garment? A matter of interpretation?",2013,journal-article,International journal for the semiotics of law,https://openalex.org/V2764447599,https://doi.org/10.1007/s11196-012-9290-9,9,Eva N.S. Ng,NA,NA,5669,4421
3599,https://openalex.org/W2020990397,The Enforcement of Morals Revisited,2013,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-013-9240-y,3,Richard J. Arneson,NA,NA,5673,4425
3600,https://openalex.org/W3192427399,Provocateurs,2013,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-013-9213-1,4,Kimberly Kessler Ferzan,NA,NA,5675,4427
3601,https://openalex.org/W3123355028,Should Law Improve Morality,2013,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-013-9248-3,8,Leslie Green,NA,NA,5677,4429
3602,https://openalex.org/W1966128674,What Should We Say We Say about Contrived ‘Self-Defense’ Defenses?,2013,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-013-9220-2,2,Daniel M. Farrell,NA,NA,5679,4431
3603,https://openalex.org/W2023796327,FINNIS ON THE AUTHORITY OF LAW AND THE COMMON GOOD,2013,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325212000237,15,George Duke,NA,NA,5680,4432
3604,https://openalex.org/W2167930667,A Proof-Based Account of Legal Exceptions,2013,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/gqs024,2,Luís Duarte d’Almeida,NA,NA,5683,4435
3605,https://openalex.org/W1997633691,Sergei Kotliarevskii and the Rule of Law in Russian Liberal Theory,2006,journal-article,Dialogue and universalism,https://openalex.org/V2764747195,https://doi.org/10.5840/du2006161/283,3,Randall A. Poole,NA,NA,5684,4436
3606,https://openalex.org/W2313066210,"Oliver Wendell Holmes, Utilitarian Jurisprudence, and the Positivism of John Stuart Mill",1985,journal-article,The American Journal of Jurisprudence,https://openalex.org/V2735326605,https://doi.org/10.1093/ajj/30.1.189,2,Patrick J. Kelley,NA,NA,5695,4447
3607,https://openalex.org/W2324570809,"LEGAL CHANGE: ESSAYS IN HONOUR OF JULIUS STONE. By A.R. Blackshield, ed. Butterworths. Sydney, Australia. 1983.",1985,journal-article,The American Journal of Jurisprudence,https://openalex.org/V2735326605,https://doi.org/10.1093/ajj/30.1.231,6,George P. Smith,NA,NA,5696,4448
3608,https://openalex.org/W2316808814,The decline of juridical reason: Doctrine and theory in the legal order. By Nigel E. Simmonds Manchester university press,1985,journal-article,The American Journal of Jurisprudence,https://openalex.org/V2735326605,https://doi.org/10.1093/ajj/30.1.240,2,Allan C. Hutchinson,NA,NA,5698,4450
3609,https://openalex.org/W1978104235,Law as a Democratic Means: Deweyan Jurisprudence and Democratic Experimentalism,2012,journal-article,Contemporary Pragmatism,https://openalex.org/V106011828,https://doi.org/10.1163/18758185-90000238,2,Brian E. Butler,NA,NA,5700,4452
3610,https://openalex.org/W2172239277,THE STATUS OF HEARERS’ RIGHTS IN FREEDOM OF EXPRESSION,2012,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325211000255,17,Marc Ramsay,NA,NA,5703,4455
3611,https://openalex.org/W2151837579,FEINBERG'S TWO CONCEPTS OF RIGHTS,2005,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s135232520505010x,5,Christopher Heath Wellman,NA,NA,5704,4456
3613,https://openalex.org/W2158052114,LIBERALISM AND PATERNALISM,2005,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325205050081,14,Russ Shafer-Landau,NA,NA,5706,4458
3614,https://openalex.org/W2094037266,TWO INTERPRETATIONS OF FEINBERG'S THEORY OF RIGHTS,2005,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325205050111,2,George W. Rainbolt,NA,NA,5707,4459
3615,https://openalex.org/W2145163846,POLITICS IS ABOUT THE GRIEVANCE,2005,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325205050160,4,Gerald J. Postema,NA,NA,5708,4460
3616,https://openalex.org/W2172289934,Feinberg's anti-paternalism and the balancing strategy,2005,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325205050093,3,Heidi Malm,NA,NA,5709,4461
3617,https://openalex.org/W2152015049,FEINBERG AND THE FAILURE TO ACT,2005,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325205050123,6,Patricia Smith,NA,NA,5710,4462
3618,https://openalex.org/W2067696412,Customary Law and the Case for Incorporationism,2005,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325205050214,3,David Lefkowitz,NA,NA,5711,4463
3619,https://openalex.org/W2157126565,The Circumstances of Integrity,1997,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200000616,5,Jeremy Waldron,NA,NA,5715,4467
3620,https://openalex.org/W2155945115,"Fair Use, Efficiency, and Corrective Justice",1997,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200000847,2,Gideon Parchomovsky,NA,NA,5716,4468
3621,https://openalex.org/W2131487408,New Challenges to the Rationality Assumption,1997,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200000689,107,Daniel Kahneman,NA,NA,5717,4469
3622,https://openalex.org/W2044688060,Comparing Harms: The Lesser-Evil Defense and the Trolley Problem,1997,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200000823,11,Robert Hallborg,NA,NA,5718,4470
3623,https://openalex.org/W2020523815,On Difference and Equality,1997,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200000641,14,Cynthia V. Ward,NA,NA,5719,4471
3624,https://openalex.org/W1979562072,The Anatomy of Private Law Theory: A 25th Anniversary Essay,2005,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/gqi011,7,Peter Cane,NA,NA,5722,4474
3625,https://openalex.org/W2168565609,The problem of the incomplete attempt,1998,journal-article,Social Theory and Practice,https://openalex.org/V68409214,https://doi.org/10.5840/soctheorpract199824312,2,David M. Adams,NA,NA,5723,4475
3626,https://openalex.org/W2147406353,"AGREEMENTS, UNDERTAKINGS, AND PRACTICAL REASON",2004,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325204000187,13,Oliver Black,NA,NA,5727,4479
3627,https://openalex.org/W2009234414,CONDITIONAL INTENT AND MENS REA,2004,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s135232520404025x,6,Gideon Yaffe,NA,NA,5728,4480
3628,https://openalex.org/W2029867930,INCORPORATIONISM AND THE OBJECTIVITY OF MORAL NORMS,1999,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325299054038,4,Kenneth Einar Himma,NA,NA,5730,4482
3629,https://openalex.org/W3123146261,The Pluralist Predicament: Contemporary Theorizing in the Law of Religious Freedom,2004,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325204000175,5,Steven Douglas Smith,NA,NA,5731,4483
3630,https://openalex.org/W2075437127,“This Argument Fails for Two Reasons…”: A Linguistic Analysis of Judicial Evaluation Strategies in US Supreme Court Judgments,2010,journal-article,International journal for the semiotics of law,https://openalex.org/V2764447599,https://doi.org/10.1007/s11196-010-9162-0,16,Davide Mazzi,NA,NA,5732,4484
3631,https://openalex.org/W2076137556,The Continuing Relevance of Ars Poetica to Legal Scholarship and the Modern Lawyer,2012,journal-article,International journal for the semiotics of law,https://openalex.org/V2764447599,https://doi.org/10.1007/s11196-010-9214-5,7,Julia J. A. Shaw,NA,NA,5733,4485
3632,https://openalex.org/W2011264081,Attempt: The Conduct Requirement,2008,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/gqn027,3,Christopher M.V. Clarkson,NA,NA,5735,4487
3633,https://openalex.org/W2086071945,Kant's concept of international law,2010,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325210000212,9,Patrick Capps,NA,NA,5736,4488
3634,https://openalex.org/W205417208,Why Basic Liberties Are Bilateral,1998,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1023/a:1006034727786,2,James W. Nickel,NA,NA,5738,4490
3635,https://openalex.org/W2100606404,Conceptual Questions and Jurisprudence,1995,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200000215,15,Brian H. Bix,NA,NA,5752,4504
3636,https://openalex.org/W1990668271,Why Feminist Epistemology Isn't (And the Implications for Feminist Jurisprudence),1995,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200000185,5,Janet Radcliffe Richards,NA,NA,5754,4506
3637,https://openalex.org/W2112770634,Consent and Sexual Relations,1996,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200000410,12,Alan Wertheimer,NA,NA,5756,4508
3638,https://openalex.org/W2143509960,The Ontological Status of Consent and its Implications for the Law on Rape,1996,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200000446,14,Heidi Malm,NA,NA,5757,4509
3640,https://openalex.org/W2096573931,"Realism, Hard Positivism, and Conceptual Analysis",1998,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200001130,9,Brian Leiter,NA,NA,5759,4511
3641,https://openalex.org/W2150493436,Two Puzzles from the Postscript,1998,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200001063,3,Philip Soper,NA,NA,5760,4512
3642,https://openalex.org/W1993830371,Hart's Concluding Scientific Postscript,1998,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s135232520000104x,7,Michael S. Moore,NA,NA,5761,4513
3643,https://openalex.org/W2015749628,"Concepts, Terms, and Fields of Enquiry",1998,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200000975,6,Andrew Halpin,NA,NA,5762,4514
3644,https://openalex.org/W2151409937,CONSTRAINTS ON THE CRITERIA OF LEGALITY,2000,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200062029,12,Jules L. Coleman,NA,NA,5763,4515
3645,https://openalex.org/W3125054286,The Generality of Rights,2000,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200063059,2,Frederick Schauer,NA,NA,5764,4516
3646,https://openalex.org/W3125939020,THE HETEROGENEITY OF RIGHTS,2000,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200063035,4,Michael C. Dorf,NA,NA,5766,4518
3647,https://openalex.org/W2129914472,CHOICE AND VALUE,2001,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325201071014,8,Timothy Macklem,NA,NA,5769,4521
3648,https://openalex.org/W2096038282,A LITTLE HELP FROM YOUR FRIENDS,2001,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325201704065,9,Stephen Schiffer,NA,NA,5771,4523
3649,https://openalex.org/W2169960830,WHEN RIGHTS CONFLICT,2001,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325201073037,8,Phillip Montague,NA,NA,5772,4524
3650,https://openalex.org/W1923098988,SPEECH AND ACTION:: Replies to Hornsby and Langton,2001,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325201072032,8,Daniel Jacobson,NA,NA,5773,4525
3651,https://openalex.org/W2217985359,CONFLICTS OF RIGHTS,2001,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325201073025,6,Frances Kamm,NA,NA,5775,4527
3652,https://openalex.org/W2136979587,"LAW OF STATES, LAW OF PEOPLES:",2002,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325202081016,176,David Held,NA,NA,5777,4529
3653,https://openalex.org/W2141406227,SHAPIRO ON LEGAL POSITIVISM AND JOINTLY INTENTIONAL ACTIVITY,2002,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325202084057h,10,Michael E. Bratman,NA,NA,5778,4530
3654,https://openalex.org/W2058258365,“WHAT AM I DOING?” STANLEY FISH ON THE POSSIBILITY OF LEGAL THEORY,2002,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325202083052h,5,Michael Robertson,NA,NA,5779,4531
3655,https://openalex.org/W3123802933,AMBIGUOUSLY STUNG: Dworkin???s Semantic Sting Reconfigured,2002,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325202082010,6,Kenneth Einar Himma,NA,NA,5780,4532
3656,https://openalex.org/W2102707309,COLLECTIVE PERSONS AND POWERS,2002,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325202084021h,24,Philip Pettit,NA,NA,5782,4534
3657,https://openalex.org/W2112881443,THE PRIMACY OF JUSTICE,2003,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325203000120,10,Jeremy Waldron,NA,NA,5783,4535
3659,https://openalex.org/W2108198168,INDEPENDENT OF CONTENT,2003,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325203000028,6,P. Markwick,NA,NA,5785,4537
3660,https://openalex.org/W3121914725,Is reasonable doubt reasonable,2003,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325203000132,17,Larry Laudan,NA,NA,5786,4538
3661,https://openalex.org/W2139283279,The emotional depravity of psychopaths and culpability,2003,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s135232520300003x,14,Ishtiyaque Haji,NA,NA,5788,4540
3662,https://openalex.org/W2042497115,"THE VALUE OF COMMUNITY, OR HOW BURKE COMPROMISES DWORKIN",2003,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325203000065,2,Emran Mian,NA,NA,5790,4542
3663,https://openalex.org/W3123951582,ON PRACTICES AND THE LAW,2006,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325206060253,5,Mark Greenberg,NA,NA,5792,4544
3664,https://openalex.org/W3125582011,Accident law for egalitarians,2006,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325206060071,3,Ronen Avraham,NA,NA,5794,4546
3665,https://openalex.org/W2108076523,TROUBLE FOR LEGAL POSITIVISM,2006,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325206060083,7,Dan Priel,NA,NA,5795,4547
3666,https://openalex.org/W2138881170,INSTRUMENTAL RULES AND MOTIVATION,2006,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s135232520607011x,2,Antony Hatzistavrou,NA,NA,5796,4548
3667,https://openalex.org/W2005410712,LEGAL PROOF AND FACT FINDERS' BELIEFS,2006,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325206070108,12,Jordi Ferrer Beltrán,NA,NA,5797,4549
3668,https://openalex.org/W3124485473,"RIGHTS, DUTIES, LIABILITIES, AND HOHFELD",2007,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325207070036,4,Andrew Halpin,NA,NA,5798,4550
3669,https://openalex.org/W2104954304,THE LIMITS OF FREE SPEECH: PORNOGRAPHY AND THE QUESTION OF COVERAGE,2007,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325207070024,16,Ishani Maitra,NA,NA,5800,4552
3670,https://openalex.org/W2072078569,Distributive Justice: Some Addenda,1968,journal-article,The American Journal of Jurisprudence,https://openalex.org/V2735326605,https://doi.org/10.1093/ajj/13.1.51,37,John Rawls,NA,NA,5802,4554
3671,https://openalex.org/W2132175154,Moral Complications and Moral Structures,1968,journal-article,The American Journal of Jurisprudence,https://openalex.org/V2735326605,https://doi.org/10.1093/ajj/13.1.1,30,Robert Nozick,NA,NA,5803,4555
3672,https://openalex.org/W2012797848,The principle of double effect.,1974,journal-article,The American Journal of Jurisprudence,https://openalex.org/V2735326605,https://doi.org/10.1093/ajj/19.1.44,20,Philip E. Devine,NA,NA,5804,4556
